Month,sl_pet,sl_diesel,ind_pet,ind_diesel,pak_pet,pak_diesel,brent_crude
July 2014,1.20,1.00,1.11,0.87,1.01,1.05,0.67
October 2014,1.10,1.00,1.02,0.89,0.97,1.03,0.55
January 2015,1.10,0.90,0.89,0.73,0.72,0.82,0.30
April 2015,0.90,0.80,0.90,0.73,0.69,0.80,0.37
July 2015,0.90,0.80,1.00,0.76,0.72,0.83,0.36
October 2015,0.90,0.80,0.92,0.68,0.68,0.78,0.30
January 2016,0.90,0.80,0.89,0.68,0.71,0.77,0.19
April 2016,0.90,0.80,0.90,0.73,0.59,0.69,0.26
July 2016,0.90,0.80,0.97,0.82,0.59,0.69,0.28
September 2016,0.90,0.80,0.95,0.80,0.59,0.69,0.29
